dataset,model,accuracy,precision,recall,f1,f2
SMS,Linear SVM,0.9865470852017937,0.9407894736842105,0.959731543624161,0.9501661129568106,0.9558823529411765
SMS,Naive Bayes,0.967713004484305,1.0,0.7583892617449665,0.8625954198473282,0.7968970380818053
SMS,Logistic Regression,0.9560538116591928,0.7777777777777778,0.9395973154362416,0.851063829787234,0.9020618556701031
Enron,Linear SVM,0.9994068801897983,0.9988368711834835,1.0,0.9994180971777713,0.9997671575761103
Enron,Naive Bayes,0.9808718861209964,0.9638047138047138,1.0,0.9815687955422203,0.9925450762829403
Enron,Logistic Regression,0.9992586002372479,0.998546511627907,1.0,0.9992727272727273,0.9997089639115251
